제목,작가,날짜,링크,유료,성인,미리보기,카테고리,장르,키워드,공,수,엔딩,AI제안장르,AI제안키워드,AI제안공,AI제안수,AI제안엔딩,요약,본문추출,AI원본응답,AI신뢰도,AI처리일시,정리메모,시리즈,시리즈명,시리즈회차,연재상태,상태근거,시리즈열통일,시리즈열통일메모,장르키워드5개제한,장르키워드5개제한메모
혚쾌 열일곱의 재구성,시공간,2023-01-19,https://www.postype.com/@nightflight01/post/13797051,X,X,시공간 2023. 1. 19.  ·  야간비행 혚쾌 열일곱의 재구성 혚은 반에서 성격좋고 공부잘하고 그런애였음 좋겠다. 하루는 점심먹고 신관이랑 후관사이에서 친구들이랑 농구공 튀기,글,"학원물, 청게, 첫사랑물","첫사랑, 짝사랑, 학원물, 상처","다정공, 순정공","짝사랑수, 상처수, 단정수",,,,,,,고등학교 반장 이승협과 아픔을 숨긴 채 결석이 잦은 유회승의 풋풋하고 다정한 학원 로맨스,"열일곱, 반장 혚, 쾌 교복, 혚을 좋아한다는걸 자각","{""id"":""301"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게"",""첫사랑물""],""keywords"":[""첫사랑"",""짝사랑"",""학원물"",""상처""],""top"":[""다정공"",""순정공""],""bottom"":[""짝사랑수"",""상처수"",""단정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""고등학교 반장 이승협과 아픔을 숨긴 채 결석이 잦은 유회승의 풋풋하고 다정한 학원 로맨스"",""evidence"":""열일곱, 반장 혚, 쾌 교복, 혚을 좋아한다는걸 자각"",""confidence"":0.9,""note"":""고등학교 배경의 청춘 로맨스""}",0.9,2026-06-14 22:00,,,,,,,,,Y,"장르 현대물 제거: 현대물, 학원물, 청게, 첫사랑물 -> 학원물, 청게, 첫사랑물"
혚쾌 센티넬가이드,시공간,2023-01-18,https://www.postype.com/@nightflight01/post/13791666,X,X,시공간 2023. 1. 18.  ·  야간비행 혚쾌 센티넬가이드 혚(19) 센티넬. 아직 능력이 각성되지않은 염력능력자. 태어날때부터 성당앞에 버려져있었다. 세례명은 미카엘. 태어,글,"판타지, 가이드버스, 센티넬버스","구원, 상처","상처공, 까칠공","능력수, 상처수",,센티넬버스,에스퍼,,,,상처 입고 버려진 센티넬 이승협과 정부에서 도망친 SS등급 가이드 유회승이 성당에서 만나 서로를 구원해가는 이야기,"혚 센티넬, 가이드 쾌, 가이딩","{""id"":""302"",""category"":""글"",""genres"":[""판타지"",""가이드버스""],""keywords"":[""구원"",""상처""],""top"":[""상처공"",""까칠공""],""bottom"":[""능력수"",""상처수""],""ending"":[],""suggested_genres"":[""센티넬버스""],""suggested_keywords"":[""에스퍼""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""상처 입고 버려진 센티넬 이승협과 정부에서 도망친 SS등급 가이드 유회승이 성당에서 만나 서로를 구원해가는 이야기"",""evidence"":""혚 센티넬, 가이드 쾌, 가이딩"",""confidence"":0.95,""note"":""센티넬 가이드 세계관 적용""}",0.95,2026-06-14 22:00,genre: 센티넬버스,,,,,,,,,
혚쾌 학원물,시공간,2023-01-15,https://www.postype.com/@nightflight01/post/13766027,X,X,시공간 2023. 1. 15.  ·  야간비행 혚쾌 학원물 나이는 뭐 한 18살 정도로 설정함. 어렸을때부터 절친이었던 혚쾌. 혚은 중학생때까지 착실한 학생이었다가 어느순간부터 탈,글,"학원물, 청게, 첫사랑물, 친구연애물","소꿉친구, 친구에서연인, 짝사랑, 첫사랑, 학원물","무심공, 까칠공","짝사랑수, 순진수",,,,,,,"탈선하는 소꿉친구 이승협을 짝사랑하는 유회승과, 다른 인물의 등장으로 질투를 느끼기 시작하는 이승협의 학원물","어렸을때부터 절친, 혚을 짝사랑하지만 혚은 그걸 모르고 무심하게 대함","{""id"":""303"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게"",""첫사랑물"",""친구연애물""],""keywords"":[""소꿉친구"",""친구에서연인"",""짝사랑"",""첫사랑"",""학원물"",""질투""],""top"":[""무심공"",""까칠공""],""bottom"":[""짝사랑수"",""순진수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""탈선하는 소꿉친구 이승협을 짝사랑하는 유회승과, 다른 인물의 등장으로 질투를 느끼기 시작하는 이승협의 학원물"",""evidence"":""어렸을때부터 절친, 혚을 짝사랑하지만 혚은 그걸 모르고 무심하게 대함"",""confidence"":0.9,""note"":""소꿉친구 간의 짝사랑과 질투를 다룬 학원물""}",0.9,2026-06-14 22:00,,,,,,,,,Y,"장르 현대물 제거: 현대물, 학원물, 청게, 첫사랑물, 친구연애물 -> 학원물, 청게, 첫사랑물, 친구연애물 / 키워드 5개 제한: 소꿉친구, 친구에서연인, 짝사랑, 첫사랑, 학원물, 질투 -> 소꿉친구, 친구에서연인, 짝사랑, 첫사랑, 학원물"
[혚쾌] 라포레(Laforet) 02,시공간,2023-01-12,https://www.postype.com/@nightflight01/post/13744835,X,X,시공간 2023. 1. 12.  ·  야간비행 [혚쾌] 라포레(Laforet) 02 spring 두번째 요리: 수플레 팬케이크 다시 돌아온 고향에서의 생활은 쉽지않았다. 시골에서의,글,"재회물, 첫사랑물, 일상물, 친구연애물","재회, 첫사랑, 짝사랑, 일상물, 오해",다정공,"짝사랑수, 단정수, 상처수",,,,,,,고향으로 돌아와 고등학교 시절 짝사랑했던 이승협과 재회하여 겪는 일상과 감정의 재각성,"다시 돌아온 고향, 고등학생때 승협이를 잠시 좋아했었다, 승협이방","{""id"":""304"",""category"":""글"",""genres"":[""현대물"",""재회물"",""첫사랑물"",""일상물""],""keywords"":[""재회"",""첫사랑"",""짝사랑"",""일상물"",""오해""],""top"":[""다정공""],""bottom"":[""짝사랑수"",""단정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""고향으로 돌아와 고등학교 시절 짝사랑했던 이승협과 재회하여 겪는 일상과 감정의 재각성"",""evidence"":""다시 돌아온 고향, 고등학생때 승협이를 잠시 좋아했었다, 승협이방"",""confidence"":0.9,""note"":""잔잔한 일상 재회물""}",0.9,2026-06-14 22:00,,Y,라포레(Laforet),2,연재중,숫자회차,Y,"장르: 현대물, 재회물, 첫사랑물, 일상물 -> 현대물, 재회물, 첫사랑물, 일상물, 친구연애물 / 키워드: 재회, 첫사랑, 짝사랑, 일상물, 오해 -> 재회, 첫사랑, 짝사랑, 일상물, 오해, 소꿉친구, 친구에서연인, 잔잔물, 상처 / 수: 짝사랑수, 단정수 -> 짝사랑수, 단정수, 상처수",Y,"장르 현대물 제거: 현대물, 재회물, 첫사랑물, 일상물, 친구연애물 -> 재회물, 첫사랑물, 일상물, 친구연애물 / 키워드 5개 제한: 재회, 첫사랑, 짝사랑, 일상물, 오해, 소꿉친구, 친구에서연인, 잔잔물, 상처 -> 재회, 첫사랑, 짝사랑, 일상물, 오해"
artifical love (1),바닷고둥,2023-01-12,https://www.postype.com/@zhofmsaks/post/10523340,X,X,바닷고둥 2023. 1. 12.  ·  토끼는 오른쪽 artifical love (1) 실험체 혚 X 군인 쾌 군인 설정이긴 하지만 계급은 따로 없고 대원와 팀장 형식으로 되어있음,글,"판타지, 군부물, SF",상처,상처공,능력수,,"SF, 디스토피아",실험체,,,,정부의 비밀 생체실험실을 수색하던 군인 유회승이 실험체 이승협과 관련된 비밀 보고서를 발견하며 엮이는 이야기,"실험체 혚 X 군인 쾌, 신인류프로젝트","{""id"":""305"",""category"":""글"",""genres"":[""판타지"",""군부물""],""keywords"":[""비밀"",""상처""],""top"":[""상처공""],""bottom"":[""능력수""],""ending"":[],""suggested_genres"":[""SF"",""디스토피아""],""suggested_keywords"":[""실험체""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""정부의 비밀 생체실험실을 수색하던 군인 유회승이 실험체 이승협과 관련된 비밀 보고서를 발견하며 엮이는 이야기"",""evidence"":""실험체 혚 X 군인 쾌, 신인류프로젝트"",""confidence"":0.9,""note"":""SF 군부물 요소 포함""}",0.9,2026-06-14 22:00,genre: SF,Y,artifical love,-1,연재중,숫자회차,,,,
[혚쾌] 마이 퍼펙트 룸메이트,PENTA,2023-01-10,https://www.postype.com/@diverecord/post/13728792,X,X,PENTA 2023. 1. 10.  ·  다이브레코드 [혚쾌] 마이 퍼펙트 룸메이트 알파 이승협 X 베타 유회승 마이 퍼펙트 룸메이트 w. 펜타 01. [룸메이트 구함] 빈 워드창,글,"오메가버스, 일상물","동거, 일상물",다정공,"단정수, 다정수",,,"룸메이트, 알파베타",,,,알파 이승협과 베타 유회승이 우연히 룸메이트가 되어 한집살이를 시작하는 다정한 일상물,"알파 이승협 X 베타 유회승, 룸메이트 구함","{""id"":""306"",""category"":""글"",""genres"":[""현대물"",""오메가버스"",""일상물""],""keywords"":[""동거"",""일상물""],""top"":[""다정공""],""bottom"":[""단정수"",""다정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""룸메이트"",""알파베타""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""알파 이승협과 베타 유회승이 우연히 룸메이트가 되어 한집살이를 시작하는 다정한 일상물"",""evidence"":""알파 이승협 X 베타 유회승, 룸메이트 구함"",""confidence"":0.95,""note"":""알파x베타 오메가버스 일상물""}",0.95,2026-06-14 22:00,,,,,,,,,Y,"장르 현대물 제거: 현대물, 오메가버스, 일상물 -> 오메가버스, 일상물"
[혚쾌] 전학온 연습생 혚이랑 반장 쾌,시공간,2023-01-09,https://www.postype.com/@nightflight01/post/13722807,X,X,시공간 2023. 1. 9.  ·  야간비행 [혚쾌] 전학온 연습생 혚이랑 반장 쾌 나이는 열일곱이었으면 좋겠다. 계절은 뭐 5월정도? 쾌의 자리는 1분단 셋째줄 오른쪽자리임. 원,글,"학원물, 청게, 첫사랑물","첫사랑, 짝사랑, 학원물, 오해, 질투","순정공, 짝사랑공","단정수, 순진수",,,,,,,전학 온 연습생 이승협의 고백을 거절하고 친구로 남으려다 관계가 소원해지자 자신의 감정을 깨닫고 고민하는 반장 유회승의 이야기,"전학온 연습생 혚이랑 반장 쾌, 음악실, 고백, 친구로 지내고싶다","{""id"":""307"",""category"":""글"",""genres"":[""현대물"",""학원물"",""청게"",""첫사랑물""],""keywords"":[""첫사랑"",""짝사랑"",""학원물"",""오해"",""질투""],""top"":[""순정공"",""짝사랑공""],""bottom"":[""단정수"",""순진수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""전학 온 연습생 이승협의 고백을 거절하고 친구로 남으려다 관계가 소원해지자 자신의 감정을 깨닫고 고민하는 반장 유회승의 이야기"",""evidence"":""전학온 연습생 혚이랑 반장 쾌, 음악실, 고백, 친구로 지내고싶다"",""confidence"":0.9,""note"":""고백 거절 후 감정 자각을 다룬 학원물""}",0.9,2026-06-14 22:00,,,,,,,,,Y,"장르 현대물 제거: 현대물, 학원물, 청게, 첫사랑물 -> 학원물, 청게, 첫사랑물"
Crush,히,2022-12-25,https://www.postype.com/@simyaaa/post/13564292,X,X,히 2022. 12. 25.  ·  심야 구독 Crush 혚쾌 in 크리스마스 12/25 ☀️ 아 여기가 어디지 회승이 깨어났다. 머리가 지끈거린다. 필름이 끊겼던건지 아무것도 기,글,일상물,"원나잇, 오해, 달달물",다정공,순진수,해피엔딩,,"삽질물, 크리스마스",,,,크리스마스 이브에 술을 마시고 원나잇을 한 후 오해를 풀고 연인이 되는 이야기,"바닥에 널브러진 콘돔, 우리 그동안 삽질하고 있었던거네","{""id"":""308"",""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""원나잇"",""오해"",""달달물""],""top"":[""다정공""],""bottom"":[""순진수""],""ending"":[""해피엔딩""],""suggested_genres"":[],""suggested_keywords"":[""삽질물"",""크리스마스""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""크리스마스 이브에 술을 마시고 원나잇을 한 후 오해를 풀고 연인이 되는 이야기"",""evidence"":""바닥에 널브러진 콘돔, 우리 그동안 삽질하고 있었던거네"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,,,,,,,,,Y,"장르 현대물 제거: 현대물, 일상물 -> 일상물"
[혚쾌] blind for love,시공간,2022-12-25,https://www.postype.com/@nightflight01/post/13617414,X,X,시공간 2022. 12. 25.  ·  야간비행 [혚쾌] blind for love 사랑에 눈이 멀다 블라인드 포 러브 :사랑에 눈이 멀다. 학원의 방학은 일주일이었다. 수능은 어,글,학원물,"짝사랑, 첫사랑, 고백","짝사랑공, 다정공","상처수, 짝사랑수",,재수학원물,고백,,,,차훈을 짝사랑하다 차인 회승과 그런 회승을 곁에서 위로하며 짝사랑해온 승협의 이야기,"나는 너 좋아하는데 너는 날 어떻게 생각해, 재수학원에서 둘이 붙어다녔다","{""id"":""309"",""category"":""글"",""genres"":[""현대물"",""학원물""],""keywords"":[""짝사랑"",""첫사랑""],""top"":[""짝사랑공"",""다정공""],""bottom"":[""상처수"",""짝사랑수""],""ending"":[],""suggested_genres"":[""재수학원물""],""suggested_keywords"":[""고백""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""차훈을 짝사랑하다 차인 회승과 그런 회승을 곁에서 위로하며 짝사랑해온 승협의 이야기"",""evidence"":""나는 너 좋아하는데 너는 날 어떻게 생각해, 재수학원에서 둘이 붙어다녔다"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,keyword: 고백,,,,,,,,Y,"장르 현대물 제거: 현대물, 학원물 -> 학원물"
[혚쾌] 아주 뜨거운 상태로,새요,2022-12-25,https://www.postype.com/@tody-n/post/12724474,X,O,새요 2022. 12. 25.  ·  PLAYLIST [혚쾌] 아주 뜨거운 상태로 🦊🐰크리스마스 전력 / 자유주제 / 출장클리셰🔞 승협의 베개를 끌어안고 깊게 숨을 들이마셨다. ',글,현대물,,,,,,"출장, 크리스마스",,,,크리스마스 출장 클리셰를 다룬 성인 단편 소설,크리스마스 전력 / 자유주제 / 출장클리셰,"{""id"":""310"",""category"":""글"",""genres"":[""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""출장"",""크리스마스""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""크리스마스 출장 클리셰를 다룬 성인 단편 소설"",""evidence"":""크리스마스 전력 / 자유주제 / 출장클리셰"",""confidence"":0.6,""note"":""미리보기 기반 분류""}",0.6,2026-06-14 22:00,,,,,,,,,,
헤엄치는 바다 上,름,2022-12-25,https://www.postype.com/@note-in-note/post/12945347,X,X,름 2022. 12. 25.  ·  비밀노트 헤엄치는 바다 上 혚쾌 승협이 돌아왔다.정확히 말하면 이승협이라는 사람이 돌아왔다는 것을 들었다. 저는 그 이승협이라는 사람을 알지 못,글,"재회물, 일상물","재회, 소꿉친구",다정공,단정수,,,,,,,어릴 적 소꿉친구였으나 기억을 못 하는 회승과 다시 마을로 돌아온 승협의 재회 이야기,"9년 전... 다시 이 마을로 돌아왔다는 것, 우리 어릴 때 매일 만나고 그랬는데","{""id"":""311"",""category"":""글"",""genres"":[""현대물"",""재회물"",""일상물""],""keywords"":[""재회"",""소꿉친구""],""top"":[""다정공""],""bottom"":[""단정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""어릴 적 소꿉친구였으나 기억을 못 하는 회승과 다시 마을로 돌아온 승협의 재회 이야기"",""evidence"":""9년 전... 다시 이 마을로 돌아왔다는 것, 우리 어릴 때 매일 만나고 그랬는데"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,,Y,헤엄치는 바다,上,연재중,회차표기,,,Y,"장르 현대물 제거: 현대물, 재회물, 일상물 -> 재회물, 일상물"
[혚쾌] Merry Elfmas! 上,다음,2022-12-24,https://www.postype.com/@daeum0520/post/13619722,X,X,다음 2022. 12. 24.  ·  끼적끄적 [혚쾌] Merry Elfmas! 上 사람 혚 X 엘프 쾌 Merry Elfmas! w. 다음 사람 혚 X 엘프 쾌 '아 그냥 집에서,글,"판타지, 인외존재",동거,다정공,까칠수,,판타지물,"엘프, 인외존재, 크리스마스",,,,오로라를 보러 왔다가 길을 잃은 인간 승협이 엘프 회승의 집에 머물게 되는 판타지 이야기,"사람 혚 X 엘프 쾌, 내 이름은 유회승. 엘프죠.","{""id"":""312"",""category"":""글"",""genres"":[""판타지""],""keywords"":[""동거""],""top"":[""다정공""],""bottom"":[""까칠수""],""ending"":[],""suggested_genres"":[""판타지물""],""suggested_keywords"":[""엘프"",""인외존재"",""크리스마스""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""오로라를 보러 왔다가 길을 잃은 인간 승협이 엘프 회승의 집에 머물게 되는 판타지 이야기"",""evidence"":""사람 혚 X 엘프 쾌, 내 이름은 유회승. 엘프죠."",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,genre: 인외존재,Y,Merry Elfmas!,上,연재중,회차표기,,,,
[혚쾌] 반(半)딧불이,메밀꽃,2022-12-09,https://www.postype.com/@memilkot17/post/13537444,X,X,메밀꽃 2022. 12. 9.  ·  메밀꽃 구독 [혚쾌] 반(半)딧불이 ( N.Flying - Firefly 들으면서 보세요 ) w. 메밀꽃. “형. 승협이형. 제발 그만 해요.,글,피폐물,"상처, 이별",상처공,상처수,새드엔딩,,"이별, 애절물",,,,서로에게 상처만 남기는 사랑을 끝내고 이별을 고하는 승협과 회승의 애절한 이야기,"오늘 이 밤이 우리에게 마지막 밤일 테니까, 우린 이제 정말 더 이상 안돼","{""id"":""313"",""category"":""글"",""genres"":[""현대물"",""피폐물""],""keywords"":[""상처""],""top"":[""상처공""],""bottom"":[""상처수""],""ending"":[""새드엔딩""],""suggested_genres"":[],""suggested_keywords"":[""이별"",""애절물""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""서로에게 상처만 남기는 사랑을 끝내고 이별을 고하는 승협과 회승의 애절한 이야기"",""evidence"":""오늘 이 밤이 우리에게 마지막 밤일 테니까, 우린 이제 정말 더 이상 안돼"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,keyword: 이별,,,,,,,,Y,"장르 현대물 제거: 현대물, 피폐물 -> 피폐물"
이복형제,어 나 얘네 아끼네,2022-11-23,https://www.postype.com/@woo-yoo/post/13460377,X,X,어 나 얘네 아끼네 2022. 11. 23.  ·  내가볼라고 이복형제 혚쾌 혚쾌 회승은 자기방에 혼자 있다 그리고 자신의 침대 끝에 앉아는 있지만 누가 봐도 초조한 모습이다 오늘,글,현대물,"비밀연애, 집착",집착공,순진수,,근친물,"이복형제, 금단",,,,부모의 재혼으로 형제가 된 승협과 회승이 비밀스럽게 관계를 맺는 이야기,"친형은 아니지만 지금은 친형이 되어버린 승협이형, 조용히 해 회승아 아직 어머닌 정리 중이야","{""id"":""314"",""category"":""글"",""genres"":[""현대물""],""keywords"":[""비밀연애"",""집착""],""top"":[""집착공""],""bottom"":[""순진수""],""ending"":[],""suggested_genres"":[""근친물""],""suggested_keywords"":[""이복형제"",""금단""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""부모의 재혼으로 형제가 된 승협과 회승이 비밀스럽게 관계를 맺는 이야기"",""evidence"":""친형은 아니지만 지금은 친형이 되어버린 승협이형, 조용히 해 회승아 아직 어머닌 정리 중이야"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,,,,,,,,,,
안맞는데 잘맞네3,어 나 얘네 아끼네,2022-10-25,https://www.postype.com/@woo-yoo/post/13222318,X,X,어 나 얘네 아끼네 2022. 10. 25.  ·  내가볼라고 안맞는데 잘맞네3 혚쾌 3 동성 say 쨍그랑! 오늘 두번째다 벌써 사장님이 고장이라도 난거 같단 말야. 머 내 가게,글,일상물,"집착, 질투, 삼각관계, 동거",집착공,다정수,,,"위치추적, 삼각관계",,,,승협의 과도한 집착과 위치추적 어플로 인해 갈등을 겪는 승협과 회승의 이야기,"위치추적 어플, 가끔 형의 집요함도 집착도 다 사랑의 한부분","{""id"":""315"",""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""집착"",""질투""],""top"":[""집착공""],""bottom"":[""다정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""위치추적"",""삼각관계""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""승협의 과도한 집착과 위치추적 어플로 인해 갈등을 겪는 승협과 회승의 이야기"",""evidence"":""위치추적 어플, 가끔 형의 집요함도 집착도 다 사랑의 한부분"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,keyword: 삼각관계,Y,안맞는데 잘맞네,3,연재중,숫자회차,Y,"키워드: 집착, 질투, 삼각관계 -> 집착, 질투, 삼각관계, 동거",Y,"장르 현대물 제거: 현대물, 일상물 -> 일상물"
안맞는데 잘맞네 2,어 나 얘네 아끼네,2022-10-09,https://www.postype.com/@woo-yoo/post/13197086,X,X,어 나 얘네 아끼네 2022. 10. 9.  ·  내가볼라고 안맞는데 잘맞네 2 혚쾌 -2- 회승say 그니깐 여기저기 빚내고 인테리어비 아끼고 아껴서(아 물론 강남한복판이라ㅠㅠ ,글,일상물,"집착, 질투, 삼각관계, 동거",집착공,다정수,,,"카페사장수, 삼각관계, 오래된연인",,,,카페를 차려 바빠진 회승과 그에게 집착하며 알바생 동성을 경계하는 승협의 이야기,"카페위치가 이승협 회사 근처, 회승이와 7년전 처음 만났을때... 지켜낸 회승인데","{""id"":""316"",""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""집착"",""질투"",""동거""],""top"":[""집착공""],""bottom"":[""다정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""카페사장수"",""삼각관계"",""오래된연인""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""카페를 차려 바빠진 회승과 그에게 집착하며 알바생 동성을 경계하는 승협의 이야기"",""evidence"":""카페위치가 이승협 회사 근처, 회승이와 7년전 처음 만났을때... 지켜낸 회승인데"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,keyword: 삼각관계,Y,안맞는데 잘맞네,2,연재중,숫자회차,Y,"키워드: 집착, 질투, 동거, 삼각관계 -> 집착, 질투, 삼각관계, 동거",Y,"장르 현대물 제거: 현대물, 일상물 -> 일상물"
안맞는데 잘맞네,어 나 얘네 아끼네,2022-10-03,https://www.postype.com/@woo-yoo/post/12583924,X,X,어 나 얘네 아끼네 2022. 10. 3.  ·  내가볼라고 안맞는데 잘맞네 혚쾌 혚쾌 “아니 이게 도대체 뭐라고 아직도 투정 부리는데?!!” “그러는 너는 도대체 이게 뭐라고 안,글,일상물,"집착, 질투, 삼각관계, 동거",집착공,다정수,,,오래된연인,,,,대학 시절부터 7년간 연애와 동거를 이어온 승협과 회승의 집착과 사랑 이야기,"살림까지 합친지가 칠년, 이승협 이 또라이가 이정도로 나한테 집착하는줄은","{""id"":""317"",""category"":""글"",""genres"":[""현대물"",""일상물""],""keywords"":[""집착"",""동거"",""질투""],""top"":[""집착공""],""bottom"":[""다정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""오래된연인""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""대학 시절부터 7년간 연애와 동거를 이어온 승협과 회승의 집착과 사랑 이야기"",""evidence"":""살림까지 합친지가 칠년, 이승협 이 또라이가 이정도로 나한테 집착하는줄은"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:00,,Y,안맞는데 잘맞네,,연재중,숫자회차,Y,"키워드: 집착, 동거, 질투 -> 집착, 질투, 삼각관계, 동거",Y,"장르 현대물 제거: 현대물, 일상물 -> 일상물"
[혚쾌] Star Sign,다음,2022-08-28,https://www.postype.com/@daeum0520/post/12995301,X,X,다음 2022. 8. 28.  ·  끼적끄적 [혚쾌] Star Sign 펜타님이 올렸던 서로 다른 헤어짐을 말하는 혚쾌에 베텔기우스를 더한..☆ ('유우리 - 베텔기우스'와 함께 ,글,재회물,"재회, 상처, 이별","후회공, 다정공","상처수, 짝사랑수",,,이별,,,,이별 후 후회하며 과거의 추억이 깃든 장소에서 다시 재회하는 이야기,헤어짐을 먼저 말한 건 나인데 내가 여기 왜 왔을까,"{""id"":""318"",""category"":""글"",""genres"":[""현대물"",""재회물""],""keywords"":[""재회"",""상처""],""top"":[""후회공"",""다정공""],""bottom"":[""상처수"",""짝사랑수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""이별""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""이별 후 후회하며 과거의 추억이 깃든 장소에서 다시 재회하는 이야기"",""evidence"":""헤어짐을 먼저 말한 건 나인데 내가 여기 왜 왔을까"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:01,keyword: 이별,,,,,,,,Y,"장르 현대물 제거: 현대물, 재회물 -> 재회물"
[혚쾌]물거품 탈출기,"사랑, 표류하다.",2022-08-18,https://www.postype.com/@missing-love0815/post/12933167,X,X,"사랑, 표류하다. 2022. 8. 18.  ·  사랑, 표류하다. 구독 [혚쾌]물거품 탈출기 펜타, 인어 01 이승협은 조상님으로부터 시한부를 선고받았다. 천자문 외우는 서당 훈장",글,판타지,"짝사랑, 후회, 오해","후회공, 짝사랑공",짝사랑수,,인어공주모티브,저주,,,,짝사랑에 실패하면 물거품이 되는 저주에 걸려 뒤늦게 후회하는 이야기,짝사랑에 실패하면 물거품으로 펑! 하고 사라지며 화상을 입히는 저주,"{""id"":""319"",""category"":""글"",""genres"":[""현대물"",""판타지""],""keywords"":[""짝사랑"",""후회"",""오해""],""top"":[""후회공"",""짝사랑공""],""bottom"":[""짝사랑수""],""ending"":[],""suggested_genres"":[""인어공주모티브""],""suggested_keywords"":[""저주""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""짝사랑에 실패하면 물거품이 되는 저주에 걸려 뒤늦게 후회하는 이야기"",""evidence"":""짝사랑에 실패하면 물거품으로 펑! 하고 사라지며 화상을 입히는 저주"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 22:01,,,,,,,,,Y,"장르 현대물 제거: 현대물, 판타지 -> 판타지"
[혚쾌]바닷속에는,"사랑, 표류하다.",2022-08-18,https://www.postype.com/@missing-love0815/post/12928674,X,X,"사랑, 표류하다. 2022. 8. 18.  ·  사랑, 표류하다. 구독 [혚쾌]바닷속에는 익명, 인어•심해 혚쾌-바닷속에는 끌페스 혚쾌 조회 129 5 0 0",그림,판타지,,,,,심해물,인어,,,,인어와 심해를 테마로 한 일러스트 연성 포스트,"그림을 펼쳐 뗏목을 만들어볼까? [혚쾌]바닷속에는 익명, 인어•심해","{""id"":""320"",""category"":""그림"",""genres"":[""판타지""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[""심해물""],""suggested_keywords"":[""인어""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""인어와 심해를 테마로 한 일러스트 연성 포스트"",""evidence"":""그림을 펼쳐 뗏목을 만들어볼까? [혚쾌]바닷속에는 익명, 인어•심해"",""confidence"":0.7,""note"":""블로그 카테고리 및 태그 기반 분류""}",0.7,2026-06-14 22:01,,,,,,,,,,
